car name,mpg,cylinders,displacement,horsepower,acceleration,model year,origin
chevrolet chevelle malibu,18,8,307,130,12,70,USA
buick skylark 320,15,8,350,165,11.5,70,USA
plymouth satellite,18,8,318,150,11,70,USA
amc rebel sst,16,8,304,150,12,70,USA
ford torino,17,8,302,140,10.5,70,USA
ford galaxie 500,15,8,429,198,10,70,USA
chevrolet impala,14,8,454,220,9,70,USA
plymouth fury iii,14,8,440,215,8.5,70,USA
pontiac catalina,14,8,455,225,10,70,USA
amc ambassador dpl,15,8,390,190,8.5,70,USA
dodge challenger se,15,8,383,170,10,70,USA
plymouth 'cuda 340,14,8,340,160,8,70,USA
chevrolet monte carlo,15,8,400,150,9.5,70,USA
buick estate wagon (sw),14,8,455,225,10,70,USA
toyota corona mark ii,24,4,113,95,15,70,ERUOPE
plymouth duster,22,6,198,95,15.5,70,USA
amc hornet,18,6,199,97,15.5,70,USA
ford maverick,21,6,200,85,16,70,USA
datsun pl510,27,4,97,88,14.5,70,ERUOPE
volkswagen 1131 deluxe sedan,26,4,97,46,20.5,70,IND
peugeot 504,25,4,110,87,17.5,70,IND
audi 100 ls,24,4,107,90,14.5,70,IND
saab 99e,25,4,104,95,17.5,70,IND
bmw 2002,26,4,121,113,12.5,70,IND
amc gremlin,21,6,199,90,15,70,USA
ford f250,10,8,360,215,14,70,USA
chevy c20,10,8,307,200,15,70,USA
dodge d200,11,8,318,210,13.5,70,USA
hi 1200d,9,8,304,193,18.5,70,USA
datsun pl510,27,4,97,88,14.5,71,ERUOPE
chevrolet vega 2300,28,4,140,90,15.5,71,USA
toyota corona,25,4,113,95,14,71,ERUOPE
ford pinto,25,4,98,?,19,71,USA
amc gremlin,19,6,232,100,13,71,USA
plymouth satellite custom,16,6,225,105,15.5,71,USA
chevrolet chevelle malibu,17,6,250,100,15.5,71,USA
ford torino 500,19,6,250,88,15.5,71,USA
amc matador,18,6,232,100,15.5,71,USA
chevrolet impala,14,8,350,165,12,71,USA
pontiac catalina brougham,14,8,400,175,11.5,71,USA
ford galaxie 500,14,8,351,153,13.5,71,USA
plymouth fury iii,14,8,318,150,13,71,USA
dodge monaco (sw),12,8,383,180,11.5,71,USA
ford country squire (sw),13,8,400,170,12,71,USA
pontiac safari (sw),13,8,400,175,12,71,USA
amc hornet sportabout (sw),18,6,258,110,13.5,71,USA
chevrolet vega (sw),22,4,140,72,19,71,USA
pontiac firebird,19,6,250,100,15,71,USA
ford mustang,18,6,250,88,14.5,71,USA
mercury capri 2000,23,4,122,86,14,71,USA
opel 1900,28,4,116,90,14,71,IND
peugeot 304,30,4,79,70,19.5,71,IND
fiat 124b,30,4,88,76,14.5,71,IND
toyota corolla 1200,31,4,71,65,19,71,ERUOPE
datsun 1200,35,4,72,69,18,71,ERUOPE
volkswagen model 111,27,4,97,60,19,71,IND
plymouth cricket,26,4,91,70,20.5,71,USA
toyota corona hardtop,24,4,113,95,15.5,72,ERUOPE
dodge colt hardtop,25,4,97.5,80,17,72,USA
volkswagen type 3,23,4,97,54,23.5,72,IND
chevrolet vega,20,4,140,90,19.5,72,USA
ford pinto runabout,21,4,122,86,16.5,72,USA
chevrolet impala,13,8,350,165,12,72,USA
pontiac catalina,14,8,400,175,12,72,USA
plymouth fury iii,15,8,318,150,13.5,72,USA
ford galaxie 500,14,8,351,153,13,72,USA
amc ambassador sst,17,8,304,150,11.5,72,USA
mercury marquis,11,8,429,208,11,72,USA
buick lesabre custom,13,8,350,155,13.5,72,USA
oldsmobile delta 88 royale,12,8,350,160,13.5,72,USA
chrysler newport royal,13,8,400,190,12.5,72,USA
